URL,UR,Traffic,Traffic value,Referring domains,Keywords,Top keyword,Top keyword: Country,Top keyword: Volume,Top keyword: Position
https://oysterlink.com/salary-calculator/30-dollar-per-hour/,7,5375,9400.45,7,558,30 an hour is how much a year,United States,23000,5
https://oysterlink.com/salary-calculator/20-dollar-per-hour/,6,4580,10015.93,7,873,$20 an hour is how much a year,United States,17000,6
https://oysterlink.com/salary-calculator/28-dollar-per-hour/,6,3096,1100.49,0,309,28 hr yearly salary,United States,1000,1
https://oysterlink.com/salary-calculator/27-dollar-per-hour/,6,2814,1632.54,1,288,how much is 27 an hour annually,United States,800,1
https://oysterlink.com/salary-calculator/23-dollar-per-hour/,6,2757,44.64,2,313,what is 23 an hour annually,United States,1700,1
https://oysterlink.com/salary-calculator/45-dollar-per-hour/,5,2327,3679.24,0,215,how much is 45 an hour annually,United States,1900,5
https://oysterlink.com/salary-calculator/18-dollar-per-hour/,5,2295,985.24,0,472,18 dollars an hour is how much a year,United States,4200,1
https://oysterlink.com/salary-calculator/80k-a-year-is-how-much-an-hour/,4.5,2095,47.62,2,214,80k a year is how much an hour,United States,12000,1
https://oysterlink.com/salary-calculator/32-dollar-per-hour/,5,2088,2548.69,0,201,32 an hour is how much a year,United States,8300,7
https://oysterlink.com/salary-calculator/19-dollar-per-hour/,5,1921,134.06,0,343,19 an hour is how much a year,United States,8900,5
https://oysterlink.com/salary-calculator/22-dollar-per-hour/,6,1906,9579.16,1,357,what is 22 an hour annually,United States,2100,1
https://oysterlink.com/salary-calculator/25-dollar-per-hour/,6,1903,490.13,4,522,$25 an hour is how much a year,United States,18000,7
https://oysterlink.com/salary-calculator/65k-a-year-is-how-much-an-hour/,0,1833,6149.38,0,248,if i make 65000 a year how much is that an hour,United States,350,1
https://oysterlink.com/salary-calculator/26-dollar-per-hour/,6,1817,487.17,0,275,$26 an hour is how much a year,United States,10000,7
https://oysterlink.com/salary-calculator/24-dollar-per-hour/,6,1777,36622.51,1,309,24 an hour is how much a year,United States,10000,7
https://oysterlink.com/salary-calculator/36-dollar-per-hour/,5,1744,460.82,0,103,what is 36 an hour annually,United States,1500,1
https://oysterlink.com/salary-calculator/55k-a-year-is-how-much-an-hour/,0,1683,1118.67,0,264,55k a year is how much an hour,United States,13000,6
https://oysterlink.com/salary-calculator/75k-salary-to-hourly/,0,1610,2699.01,0,159,how much is 75k a year hourly,United States,2900,5
https://oysterlink.com/salary-calculator/33-dollar-per-hour/,5,1593,1.8,1,141,what is 33 an hour annually,United States,1300,5
https://oysterlink.com/salary-calculator/38-dollar-per-hour-salary-calculator/,0,1560,28.68,0,113,38 hourly to salary,United States,1400,5
https://oysterlink.com/salary-calculator/21-dollar-per-hour/,6,1488,174.29,0,291,how much is $21 an hour annually,United States,900,1
https://oysterlink.com/salary-calculator/29-dollar-per-hour/,6,1391,3103.79,0,135,29 an hour is how much a year,United States,5800,5
https://oysterlink.com/salary-calculator/60k-salary-hourly/,0,1264,560.03,0,282,how much is 60k a year hourly,United States,5800,5
https://oysterlink.com/salary-calculator/31-dollar-per-hour/,5,1237,80.86,0,102,31 per hour annual salary,United States,800,1
https://oysterlink.com/salary-calculator/34-dollar-per-hour/,5,1202,919.09,0,109,what is 34 an hour annually,United States,1100,1
https://oysterlink.com/salary-calculator/17-an-hour-for-40-hours-a-week/,0,1175,23.87,0,257,17 an hour 40 hours a week,United States,250,1
https://oysterlink.com/salary-calculator/how-much-is-55-an-hour-annually/,0,1118,0.93,0,109,how much is 55 an hour annually,United States,1100,4
https://oysterlink.com/salary-calculator/how-much-is-150k-a-year-hourly/,0,1097,0,0,86,150k a year is how much an hour,United States,1500,1
https://oysterlink.com/salary-calculator/37-dollar-per-hour/,5,1061,2.04,0,99,what is 37 an hour annually,United States,500,1
https://oysterlink.com/salary-calculator/35-dollar-per-hour/,5,1037,231.63,3,189,35 an hour is how much a year,United States,17000,10
https://oysterlink.com/salary-calculator/40-dollar-per-hour/,6,1017,73.98,2,187,$40 an hour is how much a year,United States,16000,10
https://oysterlink.com/salary-calculator/70-an-hour-yearly/,0,991,67.24,0,112,70 dollars an hour yearly,United States,700,4
https://oysterlink.com/salary-calculator/50-dollar-per-hour/,5,991,486.86,2,219,$50 an hour is how much a year,United States,9400,10
https://oysterlink.com/salary-calculator/60-an-hour-annual-salary/,0,971,65.12,0,126,$60 an hour is how much a year,United States,3400,6
https://oysterlink.com/spotlight/excuses-to-get-out-of-work/,4.6,944,69.56,8,460,excuses to get out of work,United States,2900,10
https://oysterlink.com/salary-calculator/16-dollar-per-hour/,5,942,68.26,0,313,16 an hour is how much a year,United States,4700,7
https://oysterlink.com/salary-calculator/42-dollar-per-hour/,5,939,0.01,1,79,what is 42 an hour annually,United States,700,1
https://oysterlink.com/salary-calculator/how-much-is-85k-a-year-hourly/,0,847,40.05,0,77,85000 a year is how much an hour,United States,5300,7
https://oysterlink.com/spotlight/how-many-restaurants-does-shaq-own/,0,847,5.89,0,245,what restaurants does shaq own,United States,200,1
https://oysterlink.com/salary-calculator/how-much-is-45000-a-year-per-hour/,0,811,95.17,0,249,45k a year is how much an hour,United States,11000,9
https://oysterlink.com/salary-calculator/how-much-is-120k-a-year-hourly/,0,794,726.57,0,113,how much is 120k a year hourly,United States,800,7
https://oysterlink.com/salary-calculator/75-hourly-to-salary/,0,788,8.55,0,90,how much is 75 an hour annually,United States,400,4
https://oysterlink.com/salary-calculator/how-much-is-50k-a-year-to-hourly/,4.5,752,749.5,2,229,"what is $50,000 a year hourly",United States,1000,7
https://oysterlink.com/salary-calculator/15-dollar-per-hour/,5,742,2236.56,2,420,15 an hour is how much a year,United States,7900,9
